ISO_Code,Country_Name,HALE_Percentile,DEA_Efficiency_Percentile,Fund_Input_Percentile,Physician_Coverage_Percentile,PM25_Burden_Control_Percentile,Tobacco_Burden_Control_Percentile,Clinical_Budget_Pct,Admin_Budget_Pct,PublicHealth_Pct,Env_Pct,Tobacco_Pct,CATE_Clinical,CATE_Admin,CATE_PublicHealth,CATE_Env,CATE_Tobacco
VEN,委内瑞拉玻利瓦尔共和国,43.37,80.1,33.16,55.61,56.63,60.2,43.11,5.76,31.67,19.31,0.14,1.24,-8.03,0.16,0.22,0.35
VIR,美属维尔京群岛,47.7,25.51,47.45,49.49,96.43,74.49,47.99,6.14,31.72,14.01,0.15,1.09,6.29,0.25,0.09,-0.23
SSD,南苏丹,3.57,62.76,9.69,1.02,46.94,95.92,47.07,11.64,19.47,21.67,0.16,-0.59,0.96,0.06,0.18,0.02
SYR,阿拉伯叙利亚共和国,44.9,75.0,11.22,47.45,8.67,16.84,43.99,5.97,30.85,19.04,0.14,-0.45,1.53,0.07,0.08,0.13
CUB,古巴,68.88,3.57,71.43,100.0,83.16,15.82,42.85,5.5,33.48,18.04,0.13,-0.25,0.12,-0.02,0.11,0.09
YEM,也门,19.39,50.51,12.76,11.22,6.12,45.92,46.93,10.13,21.55,21.23,0.15,-0.29,0.96,0.04,0.18,0.24
ERI,厄立特里亚国,16.33,26.53,3.57,5.1,51.02,96.94,48.74,8.04,20.61,22.45,0.16,-1.51,0.33,-0.04,0.33,-0.06
MCO,摩纳哥公国,47.7,8.67,98.47,99.49,76.53,19.39,50.14,4.8,28.88,16.08,0.12,-0.25,0.12,-0.02,0.11,0.09
JOR,约旦,73.47,62.76,43.88,67.35,26.53,9.69,45.09,5.74,30.46,18.57,0.14,0.46,-2.08,-0.05,0.13,0.21
MDA,摩尔多瓦共和国,37.76,9.18,48.98,84.69,50.51,25.0,47.18,5.98,30.55,16.13,0.14,-0.29,-1.29,0.01,0.08,0.23
MAR,摩洛哥,45.41,86.73,34.69,34.18,45.41,55.1,44.52,5.8,27.33,22.21,0.14,0.77,-0.46,0.09,0.11,0.09
MYS,马来西亚,64.8,43.88,48.47,60.2,54.59,25.51,43.65,5.37,30.6,20.25,0.13,0.5,6.47,0.23,0.28,0.15
LVA,拉脱维亚,61.22,80.61,76.53,75.51,66.84,40.82,52.5,5.05,27.76,14.57,0.12,0.0,8.85,0.37,0.25,-0.27
NAM,纳米比亚,6.63,2.04,46.94,29.85,62.76,73.47,45.03,6.12,29.23,19.47,0.15,-0.31,3.33,0.02,0.19,0.15
ARM,亚美尼亚,65.82,62.76,65.31,74.49,14.8,6.63,55.12,4.15,25.82,14.78,0.12,0.58,-4.38,0.09,0.03,0.28
JPN,日本,99.49,62.76,88.78,63.78,72.96,46.43,45.57,4.71,28.7,20.9,0.11,1.11,6.48,0.25,0.09,-0.24
MDV,马尔代夫,79.34,62.76,69.9,58.16,76.02,5.61,50.09,5.99,30.6,13.18,0.14,-0.4,-4.42,0.09,0.12,0.31
